COMPANY;FUND;INVESTMENT MIN;INVESTMENT MAX;COUNTRY;ADDRESS;ZIP;CITY;STATE;PHONE;FAX;EMAIL;WEBSITE;STAGE;INDUSTRY PREFERENCES;INVESTOR TYPES;COMMENTS;MANAGEMENT TEAMNAME;PHONES;EMAILS
Needham Capital Partners, L.P. - Menlo Park;600000000;1000000;10000000;United States of America;3000 Sand Hill Road, Building 2	Suite 190;94025;Menlo Park ;California;650-854-9111;650-854-9853;gneedham@needhamco.com;http://www.needhamcapital.com/;Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine;Communication &amp  Computer Networks,Consumer Services,Healthcare,Internet,Manufacturing,Real Estate, Construction &amp  Infrastructure,Semiconductors,Software,Technology;Private Equity Firm;;George Needham (General Partner),Glen Albanese, Managing Director and Chief Financial Officer,Jack Iacovone, Managing Director,John Prior, Jr. (General Partner),Oliver Gratry, Principal;650-854-9111;galbanese@needhamco.com,gneedham@needhamco.com,jiacovone@needhamco.com,jprior@needhamco.com,ogratry@needhamco.com
New Atlantic Ventures-Cambridge;180000000;100000;3000000;United States of America;One Broadway,14th Floor;2142;Cambridge;Massachusetts;617-758-4275;617-758-4101;plans@navfund.com;http://www.navfund.com/;Early Stage,Seed,StartUp;Advertising &amp  Marketing,Business Services,Consumer Products,Consumer Services,Education,Energy &amp  Natural Resources,Enthusiast, Craft &amp  Hobby Products,Financial Services,Healthcare,Internet,Life Sciences,Software,Technology;Venture Capital Firm;;Eryn Lampe, Operations Manager,Geoff Mamlet, Principal,Mel Davidson (CFO),Mel Davidson, CFO,Stephen Marcus (Venture Partner),Stephen Marcus, Venture Partner,Tim Rowe, Venture Partner,Todd Hixon, Founder and Managing Partner;617-758-4275;eryn@navfund.com,geoff@navfund.com,mel@navfund.com,stephen@navfund.com,tim@navfund.com,todd@navfund.com
New Business Venture Fund-Reykjavik;50000000;1000000;1000000;Iceland;Kringlunni 7;IS-103;Reykjavik;;354-510-1800;354-510-1809;nyskopun@nyskopun.is;http://www.nsa.is/;Early Stage,Later Stage,Seed,Expansion,StartUp;Consumer Services,Financial Services;Venture Capital Firm;;;;
Google Ventures, Mountain View;100000000;100000;25000000;United States of America;1600 Amphitheatre Parkway;94043;Mountain View;California;;;ventures@google.com;http://www.google.com/ventures/;Early Stage,Seed,StartUp;Biotechnology,Cleantech,Computer Hardware,Consumer Products,Consumer Services,Electronics,Healthcare,Internet,Software;Venture Capital Firm;;Bill Maris,Braden Kowitz,David Krane,Feng Yuan Xu,Melissa Levick,Peter Norvig,Rich Miner,Scott Davis,Steve Chen,Wesley Chan;;ventures@google.com
Google Ventures, Cambridge;100000000;100000;25000000;United States of America;5 Cambridge Center, 4th Floor;2142;Cambridge;Massachusetts;;;ventures@google.com;http://www.google.com/ventures/;Early Stage,Seed,StartUp;Biotechnology,Cleantech,Computer Hardware,Consumer Products,Consumer Services,Electronics,Healthcare,Internet,Software;Venture Capital Firm;;Bill Maris,Braden Kowitz,David Krane,Feng Yuan Xu,Graham Spencer,Joe Kraus,Jonathan Faerber,Karim Faris,Katie Mandel,Steve Chen;;ventures@google.com
New Canaan Funding LLC - Chicago;100000000;1000000;5000000;United States of America;20 Danada Square West #205;60187;Chicago;Illinois;630-690-7768;630-690-7769;bament@newcanaanfunding.com;http://www.newcanaanfunding.com/;Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine,Recapitalization;Business Services,Consumer Services,Financial Services;Private Equity Firm;;Brad	 Ament;630-690-7768;bament@newcanaanfunding.com	
ZenShin Capital;100000000;200000;4000000;United States of America;535 Middlefield Road, Suite 100;94025;Menlo Park;California;;;db@zenshincapital.com;http://www.zenshincp.com/;Early Stage,Expansion,Seed,Series A,StartUp;Business Services,Consumer Products,Consumer Services,Distribution,Electronics,Internet,Life Sciences,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Software,Technology,Video Games;Venture Capital Firm;;Yoji	 Kawaguchi	 Managing Director;;yoji@zenshincapital.com	
NEW Capital Fund, LP;10000000;250000;1000000;United States of America;200 E Washington Street;54912;Appleton;Wisconsin;920-731-5777;920-731-5830;charlie@newcapitalfund.com;http://www.newcapitalfund.com/;Early Stage,Seed,StartUp;Agriculture,Biotechnology,Business Services,Education,Internet,IT Services,Life Sciences,Manufacturing,Software;Private Equity Firm;;Mr.	Charlie	 Goff	 (General Partner);920-731-5777;charlie@newcapitalfund.com
Tano Capital, LLC;100000000;1000000;6000000;United States of America;One Franklin Parkway Building 970, 2nd Floor;94403;San Mateo;California;(650) 212-0330;(650) 212-0006;information@tanocapital.com;http://www.tanocapital.com/;Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine;Consumer Products,Electronics,Energy &amp  Natural Resources,Financial Services,Healthcare,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Real Estate, Construction &amp  Infrastructure,Technology;Private Equity Firm;; Charles E. Johnson ,Alex R. Bucur,Dr. Jian Guan Chief Coordinator, Tianjin Tano China Capital Management Inc.,Dr. Nai-Hsin Ting Senior Director Tano China Capital Management Inc.,Ernest P. Tan,Kerry D. Long,Teresa Jia Analyst Tano China Capital Management Inc.,Terry P. Robacker,Timothy D. Chatard ,Viktor Naumenko ;;information@tanocapital.com
New Capital Partners-Dallas;110000000;2000000;20000000;United States of America;2101 Cedar Springs Road,Suite 1200;75201;Dallas;Texas; (214) 871-5408;(214) 871-5401;jim@newcapitalpartners.com;http://www.newcapitalpartners.com/;Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine,Recapitalization;Business Services,Computer Hardware,Consumer Services,Electronics,Financial Services,Healthcare,Insurance,IT Services,Medical Services,Pharmaceuticals,Software;Private Equity Firm;;Kyle	 Alexander	 Principal; (214) 871-5408;kalexander@newcapitalpartners.com	
Tano China Capital Management, Inc;100000000;1000000;6000000;China/Honk Kong/Macau;No.94, Lane 468, Urumuqi North Road;200040;Shanghai;;86-21-6248-8877;86-21-6249-5659;information@tanocapital.com;http://www.tanocapital.com/;Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine;Consumer Products,Electronics,Energy &amp  Natural Resources,Financial Services,Healthcare,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Real Estate, Construction &amp  Infrastructure,Technology;Private Equity Firm;;Alex R. Bucur Director,Dr. Jian Guan,Dr. Nai-Hsin Ting,Frank Liu,Jeanne Chow,JingHan Yang,Teresa Jia,Viktor Naumenko Director,Ying Yan;;information@tanocapital.com
Tano India Advisors Pvt . Ltd;100000000;1000000;6000000;India;9 Nirlon House, Ground Floor 254-B Dr. Annie Besant Rd. Worli,;400025;Mumbai;;+91 22 67468000;+91 22 67468002;information@tanocapital.com;http://www.tanocapital.com/;Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine,Recapitalization;Consumer Products,Electronics,Energy &amp  Natural Resources,Financial Services,Healthcare,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Real Estate, Construction &amp  Infrastructure,Technology;Private Equity Firm;;Alex R. Bucur Director,Amit Dand,Carlton Pereira,Dr. Jian Guan Chief Coordinator, Tianjin Tano China Capital Management Inc.,Hetal Gandhi,Piyush Goenka,Shruti Gupta,Teresa Jia Analyst Tano China Capital Management Inc.,Timothy D. Chatard Managing Director,Viktor Naumenko Director;;information@tanocapital.com
New Cycle Capital, LLC-San Francisco;50000000;1000000;4000000;United States of America;410 Jessie Street	Suite 501;94103;San Francisco;California;415-615-0130;415-373-3828;info@newcyclecapital.com;http://www.newcyclecapital.com/;Early Stage,Seed,StartUp;Business Services,Consumer Products,Consumer Services,Education,Energy &amp  Natural Resources,Environment,Internet,Retail and wholesale;Venture Capital Firm;;Jamien	C.	McCullum	 Associate,Mr.	Josh	 Becker	 (General Partner);415-615-0130;jamien@newcyclecapital.com	,josh@newcyclecapital.com
Tano Capital, LLC Hong Kong;100000000;1000000;6000000;China/Honk Kong/Macau;Unit B2 (603), 6F, Bank of America Tower, No.12, Harcourt Road;;Hong Kong;;;;information@tanocapital.com;http://www.tanocapital.com/;Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine;Consumer Products,Electronics,Energy &amp  Natural Resources,Financial Services,Healthcare,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Real Estate, Construction &amp  Infrastructure,Technology;Private Equity Firm;;Charles E. Johnson Managing Director,Dr. Jian Guan,Dr. Nai-Hsin Ting,Ernest P. Tan Director,Frank Liu,Jeanne Chow,JingHan Yang,Teresa Jia,Timothy D. Chatard Managing Director,Ying Yan;;information@tanocapital.com
Tano Mauritius Investments  C/O International Financial Services;100000000;1000000;6000000;Mauritius;"IFS Court TwentyEight Cybercity";;Ebene;;(230) 467-3000;(230) 467-4000;information@tanocapital.com;http://www.tanocapital.com/;Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine;Consumer Products,Electronics,Energy &amp  Natural Resources,Financial Services,Healthcare,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Real Estate, Construction &amp  Infrastructure,Technology;Private Equity Firm;;Alex R. Bucur Director,Charles E. Johnson Managing Director,Dr. Nai-Hsin Ting Senior Director Tano China Capital Management Inc.,Ernest P. Tan Director,Frank Liu Managing Director,Kerry D. Long General Counsel,Teresa Jia Analyst Tano China Capital Management Inc.,Terry P. Robacker Managing Director &amp  CO,Timothy D. Chatard Managing Directo,Viktor Naumenko Director;;information@tanocapital.com
True Ventures San Francisco;600000000;1000000;15000000;United States of America;Pier 38, The Embarcadero;94107;San Francisco;California;650-319-2150;650-330-7330;info@trueventures.com;http://www.trueventures.com/;Early Stage,Seed,Series A,StartUp;Business Services,Cellular (applications, devices and infrastructure) ,Communication &amp  Computer Networks,Consumer Products,Financial Services,Internet,Software,Technology;Venture Capital Firm;;Phil Black,Puneet Agarwal,Shea Di Donna,Tony Conrad;;info@trueventures.com
New England Capital Partners-Newton;340000000;10000000;10000000;United States of America;One Gateway Center	Suite 405;2458;Newton;Massachusetts;617-964-7300;617-964-7301;kevin@necapitalpartners.com;http://www.necapitalpartners.com/;Early Stage,Management Buyout;Business Services,Energy &amp  Natural Resources,Financial Services;Private Equity Firm;;Kevin P. McCafferty Principal,Mr.	Kevin	M.	McCafferty		(Chairman),Robert D. Winneg General Partner;;bwinneg@necapitalpartners.com,kevin@necapitalpartners.com
Time Warner Inc.;50000000;1000000;5000000;United States of America;One Time Warner Center;10019-8016;New York;New York;212.484.8000;;investments@timewarner.com;http://www.timewarner.com/corp/businesses/detail/tw_investments/index.html;Early Stage;Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production);Private Investor;;Carol A. Melton,Fred Hassan, Chairman and Chief Executive Officer,James L. Barksdale , Chairman and President of Barksdale Management ,Jeffrey L. Bewkes, Chairman and Chief Executive Officer,John K. Martin ,Olaf Olafsson ,Stephen F. Bollenbach, Co-Chairman and Chief Executive Officer,William P. Barr , Executive Vice President and General;;investments@timewarner.com
Felicis Ventures;200000000;100000;3000000;United States of America;530 Lytton Ave, Suite 302; 94301;Palo Alto;California;;;info@felicisvc.com;http://www.felicisvc.com/default.aspx;Early Stage,Seed,StartUp;Consumer Products,Consumer Services,Internet;Angel Investor,Venture Capital Firm;;Aydin	 Senkut	 President;;aydin@felicisvc.com	
New Enterprise Associates-Menlo Park;850000000;500000;15000000;United States of America;2855 Sand Hill Road;94025;Menlo Park;California;650-854-9499;650-854-9397;gtrainor@nea.com;http://www.nea.com/;Early Stage,Later Stage,Seed,Series A,StartUp;Business Products,Business Services,Communication &amp  Computer Networks,Consumer Services,Electronics,Financial Services,Healthcare,Internet,IT Services,Life Sciences,Medical Devices,Pharmaceuticals,Software,Technology;Private Equity Firm;;C. Richard Kramlich, General Partner / Co-Founder,Chip Linehan, Special Partner,Forest Baskett, PhD, General Partner,Krishna 'Kittu' Kolluri, General Partner,Mark Perry, General Partner,Patrick Chung, Partner,Ravi Viswanathan, PhD, General Partner,Robert Garland, MD, Partner,Rohini Chakravarthy, Partner,Scott Sandell, General Partner;;clinehan@nea.com,dkramlich@nea.com,fbaskett@nea.com,kkolluri@nea.com,mperry@nea.com,pchung@nea.com,rchakravarthy@nea.com,rgarland@nea.com,rviswanathan@nea.com,ssandell@nea.com
New Enterprise Associates (Beijing), Ltd.;850000000;500000;15000000;China/Honk Kong/Macau;Room B1706, Focus Place,No. 19 Financial Street,Xicheng District;100140;Beijing;;86-10-6657-5566;86-10-6657-3553;xjiang@nea.com;http://www.nea.com/china/;Early Stage,Seed,Series A,StartUp;Business Services,Communication &amp  Computer Networks,Consumer Products,Consumer Services,Diversified,Electronics,Financial Services,Healthcare,IT Services,Life Sciences,Medical Devices,Pharmaceuticals,Technology;Private Equity Firm;;Ding'an Fei Associate,Mr.	Xiaodong		Jiang		(Managing Director),Peter Zhang, China General Counsel,Qiang Fu, Vice President,Songde Ma Senior Venture Advisor;;dfei@neo.com,pzhang@nea.com,qfu@neo.com,sma@neo.com,xjiang@nea.com
New Enterprise Associates (Shanghai), Ltd.;850000000;;;China/Honk Kong/Macau;Unit 2202, Plaza 66	1266 Nanjing West Road;200040;Shanghai;;86-21-6138-1000;86-21-6138-1010;defi@neo.com;http://www.nea.com/china/;Early Stage,Management Buyout;Business Services,Consumer Services,Financial Services;Private Equity Firm;;Ding'an Fei, Associate,Peter Zhang, China General Counsel,Qiang Fu, Vice President,Songde Ma, Senior Venture Advisor,Xiaodong Jiang , Managing Director;;defi@neo.com,pzhang@nea.com ,qfu@nea.com,sma@nea.com ,xjiang@neo.com
New Enterprise Associates (India) Pvt Ltd-Bangalore.;850000000;500000;10000000;India;Suite 212, 2nd Floor Prestige Omega, No. 104, EPIP Zone, Whitefield ;560 066;Bangalore;;+91-80-4060 0801    ;+91-80-4060 0700 ;bala@nea.com;http://www.nea.com/india/;Early Stage,Expansion,Later Stage,Mezzanine,Seed,Series A,StartUp;Business Services,Consumer Services,Energy &amp  Natural Resources,Financial Services,Healthcare,IT Services,Medical Devices,Technology;Private Equity Firm;;Amit Sharma, Board Advisor,Ben Mathias, Executive Director,Ms.	Bala		Deshpande		(Senior Managing Director),Ruchir Lahoty, Vice President,Tarun Sharma, Vice President,Vibhor Srivastava, Associate;;asharma@nea.com,bala@nea.com,bmathias@nea.com ,rlahoty@nea.com,tsharma@nea.com,vsrivastava@nea.com
Morgan Stanley New York ;1000000000;1000000;15000000;United States of America;1221 Avenue of the Americas;10020;New York;New York;(212) 762-7100;;Sadek.Wahba@morganstanley.com;http://www.morganstanley.com/im/legal/aipdisclaimer.html?page=legal&next=http%3A//www.morganstanley.com/im/products/altinvest.html%3Fpage%3Dprod;Early Stage,Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine,Seed,StartUp;Business Services,Diversified,Education,Financial Services,Insurance,Real Estate, Construction &amp  Infrastructure;Private Equity Firm,Venture Capital Firm;;Dr. Sadek Wahba, CIO and Global Head, Managing Director,John Myers , Managing Director;;John.B.Myers@morganstanley.com,Sadek.Wahba@morganstanley.com
New Heights Capital LLC-New York;300000000;1000000;5000000;United States of America;174 Hudson Street, 4th Fl	Chuo-ku;10013;New York;New York;212-925-3130;;rsteere@newheightscap.com;http://www.newheightscap.com/;Leveraged Buyout,Management Buyout,Recapitalization;Business Products,Business Services,Consumer Products,Consumer Services,Diversified,Financial Services,Manufacturing;Private Equity Firm;;Mr. Bill Green , CEO,Mr. John Benis Entrepreneur &amp  Investor,Mr.	Richard	F.	Steere	Jr.	(Managing Partner);;rsteere@newheightscap.com
Morgan Stanley San Francisco;1000000000;1000000;5000000;United States of America;555 California Street Suite 2200;94104;San Francisco;California;(415) 576-8700;;Stephen.Trevor@morganstanley.com;http://www.morganstanley.com/im/legal/aipdisclaimer.html?page=legal&next=http%3A//www.morganstanley.com/im/products/altinvest.html%3Fpage%3Dprod;Early Stage,Expansion,Later Stage,Leveraged Buyout,Management Buyout,Mezzanine,Seed,StartUp;Business Services,Diversified,Education,Financial Services,Insurance,Real Estate, Construction &amp  Infrastructure;Private Equity Firm,Venture Capital Firm;;Dr. Sadek Wahba, CIO and Global Head, Managing Director,John Myers , Managing Director,Mr. Stephen Trevor Managing Director;;John.B.Myers@morganstanley.com,Sadek.Wahba@morganstanley.com,Stephen.Trevor@morganstanley.com
New Horizons Venture Capital-Washington;200000000;1000000;10000000;United States of America;1808 Eye Street, NW	Suite 200	89 Jin Bao Street;20006;Washington;District of Columbia;202-955-7965;202-955-7966;info@newhorizonsvc.com;http://www.newhorizonsvc.com/;Early Stage,Series A,StartUp;Business Services,Consumer Services,Financial Services,Technology;Venture Capital Firm;;Harris Iqbal, Analyst,Julie Jubeir, Senior Vice President,Lisa Bingaman, Team Assistant ,Lokesh Tulshan, (Associate),Mr.	T.J.		Jubeir		(Managing Partner);;info@newhorizonsvc.com,jubeir@newhorizonsvc.com
Morgan Stanley Germany;1000000000;15000000;15000000;Germany;Junghofstrasse 13-15;60311;Frankfurt;;(49 69) 2166-2900;;Sadek.Wahba@morganstanley.com;https://www.morganstanley.com/about-us/global-offices/europe-middle-east-africa/germany;Early Stage,Later Stage,Management Buyout,Seed,Expansion,Leveraged Buyout,Mezzanine,StartUp;Business Services,Education,Diversified,Financial Services,Insurance,Real Estate, Construction & Infrastructure;Venture Capital Firm,Private Equity Firm;;;;
Morgan Stanley UK ;1000000000;15000000;15000000;United Kingdom;"20 Bank Street Canary Wharf ";E14 4AD;London;England;(44 20) 7425-8000;;msmail@morganstanley.com;https://www.morganstanley.com/about-us/global-offices/europe-middle-east-africa/united-kingdom;Early Stage,Later Stage,Management Buyout,Seed,Expansion,Leveraged Buyout,Mezzanine,StartUp;Business Services,Education,Diversified,Financial Services,Insurance,Real Estate, Construction & Infrastructure;Venture Capital Firm,Private Equity Firm;;;;
